CC-Throughput_Latency_set_nopipe
1 41722.30 0.02
10 140410.00 0.05
50 144133.75 0.19
100 139703.83 0.39
200 153421.30 0.69
300 119217.94 1.28
400 124347.18 1.66
500 115821.17 2.19
600 112815.88 2.69
700 131233.59 2.77
800 114495.07 3.60
900 114416.48 4.05
1000 113481.61 4.48
CC-Throughput_Latency_set_pipe
1 396196.53 0.04
10 1103752.75 0.13
50 1126126.12 0.59
100 1144164.75 1.16
200 1121076.25 2.42
300 1106194.75 3.74
400 1072961.38 5.10
500 1059322.00 6.39
600 1079913.62 7.61
700 1070663.75 9.01
800 1079913.62 10.16
900 1059322.00 11.59
1000 1063829.75 12.72
CC-Throughput_Latency_get_nopipe
1 43595.78 0.02
10 137362.64 0.04
50 157778.48 0.17
100 127942.68 0.41
200 130548.30 0.80
300 118035.88 1.30
400 127779.20 1.63
500 116414.43 2.21
600 118287.20 2.60
700 119303.27 3.04
800 119217.94 3.45
900 113791.53 4.02
1000 109313.52 4.63
CC-Throughput_Latency_get_pipe
1 418760.47 0.03
10 1291989.62 0.10
50 1362397.75 0.49
100 1298701.38 1.02
200 1400560.25 1.92
300 1216545.00 3.27
400 1272264.62 4.18
500 1404494.38 4.74
600 1278772.38 6.16
700 1326259.88 6.91
800 1275510.25 8.38
900 1381215.50 8.44
1000 1291989.62 9.95
