1 40980.25 0.02
10 137513.75 0.05
50 135171.67 0.20
100 138542.53 0.41
200 127583.57 0.82
300 118680.28 1.30
400 115874.85 1.77
500 116414.43 2.19
600 113636.36 2.70
700 111906.90 3.18
800 114652.60 3.63
900 111433.03 4.15
1000 117896.72 4.38
1 41196.34 0.02
10 138966.09 0.05
50 143843.50 0.19
100 146929.17 0.36
200 129769.02 0.80
300 114103.15 1.34
400 115660.42 1.78
500 122070.30 2.14
600 115955.48 2.70
700 119388.73 3.02
800 111507.58 3.69
900 109649.12 4.16
1000 113739.77 4.52
1 41037.43 0.02
10 147928.98 0.04
50 165617.75 0.16
100 153988.30 0.34
200 120163.43 0.87
300 115821.17 1.34
400 115154.30 1.81
500 115313.66 2.25
600 111582.23 2.76
700 113378.69 3.18
800 108506.95 3.74
900 108554.06 4.24
1000 112841.34 4.60
1 35862.86 0.02
10 104101.60 0.06
50 97580.02 0.28
100 106473.59 0.51
200 106315.12 1.02
300 91107.88 1.69
400 86221.77 2.39
500 88873.09 2.88
600 84402.44 3.63
700 84788.88 4.23
800 88778.41 4.65
900 83153.17 5.50
1000 85587.12 6.02
1 13112.35 0.07
10 26450.83 0.37
50 26713.68 1.78
100 23174.97 4.10
200 18127.76 10.64
300 16356.97 17.73
400 15240.19 25.40
500 14987.11 32.26
600 14545.45 39.88
700 14139.87 47.85
800 13443.39 57.49
900 11024.14 79.18
1000 10941.64 88.68
1 40267.38 0.02
10 148279.95 0.04
50 127453.48 0.21
100 133689.84 0.39
200 163934.42 0.62
300 129198.97 1.22
400 114442.66 1.80
500 132731.62 1.94
600 112309.07 2.72
700 128106.58 2.82
800 120598.17 3.47
900 117068.60 3.91
1000 114364.13 4.47
1 43040.38 0.02
10 158077.77 0.04
50 141843.97 0.19
100 135832.66 0.39
200 123213.41 0.85
300 113199.01 1.35
400 121359.23 1.70
500 114863.30 2.23
600 119360.23 2.59
700 117370.88 3.08
800 112460.63 3.63
900 109505.04 4.18
1000 109938.44 4.63
1 42405.22 0.02
10 164636.16 0.04
50 161707.62 0.17
100 115982.38 0.44
200 117096.02 0.89
300 124161.91 1.26
400 119617.23 1.75
500 116306.12 2.28
600 111706.88 2.80
700 114547.55 3.18
800 109553.02 3.76
900 107688.99 4.31
1000 110204.98 4.69
1 36789.05 0.02
10 109051.25 0.06
50 100786.13 0.28
100 107688.99 0.51
200 97541.95 1.09
300 95693.78 1.65
400 87305.74 2.37
500 88888.89 2.87
600 89766.60 3.43
700 87919.82 4.08
800 85748.59 4.77
900 82020.99 5.55
1000 82426.64 6.20
